Exp,Round,Item,Condition,Item.Nr,sentences,role,id,partner_id,group_enumeration
1,5,011_2,11,2,[],producer,3,2,35
1,5,011_2,11,2,[],receiver,3,2,36
1,5,111_1,111,1,[],receiver,3,1,37
1,5,001_1,1,1,[],receiver,3,4,38
1,5,NA_x,NA,x,"[['some', 'some'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,39
1,5,NA_x,NA,x,"[['none', 'not all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,40
1,5,110_2,110,2,[],producer,4,1,33
1,5,101_2,101,2,[],producer,4,2,34
1,5,001_1,1,1,[],producer,4,3,35
1,5,101_3,101,3,[],receiver,4,3,36
1,5,010_2,10,2,[],receiver,4,2,37
1,5,010_3,10,3,[],receiver,4,1,38
1,5,NA_x,NA,x,"[['some', 'all'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,39
1,5,NA_x,NA,x,"[['none', 'not all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,40
1,6,100_3,100,3,[],producer,1,2,41
1,6,110_3,110,3,[],producer,1,3,42
1,6,111_2,111,2,[],producer,1,4,43
1,6,100_1,100,1,[],receiver,1,4,44
1,6,011_1,11,1,[],receiver,1,3,45
1,6,111_1,111,1,[],receiver,1,2,46
1,6,NA_x,NA,x,"[['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,47
1,6,NA_x,NA,x,"[['not all', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,48
1,6,111_2,111,2,[],producer,2,3,41
1,6,001_1,1,1,[],producer,2,4,42
1,6,111_1,111,1,[],producer,2,1,43
1,6,100_3,100,3,[],receiver,2,1,44
1,6,110_1,110,1,[],receiver,2,4,45
1,6,010_2,10,2,[],receiver,2,3,46
1,6,NA_x,NA,x,"[['all', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,47
1,6,NA_x,NA,x,"[['some', 'all'], ['not all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,48
1,6,110_3,110,3,[],producer,3,4,41
1,6,011_1,11,1,[],producer,3,1,42
1,6,010_2,10,2,[],producer,3,2,43
1,6,111_2,111,2,[],receiver,3,2,44
1,6,110_3,110,3,[],receiver,3,1,45
1,6,101_3,101,3,[],receiver,3,4,46
1,6,NA_x,NA,x,"[['some', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,47
1,6,NA_x,NA,x,"[['some', 'all'], ['not all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,48
1,6,100_1,100,1,[],producer,4,1,41
1,6,110_1,110,1,[],producer,4,2,42
1,6,101_3,101,3,[],producer,4,3,43
1,6,110_3,110,3,[],receiver,4,3,44
1,6,001_1,1,1,[],receiver,4,2,45
1,6,111_2,111,2,[],receiver,4,1,46
1,6,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,47
1,6,NA_x,NA,x,"[['some', 'all'], ['not all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,48
1,7,101_2,101,2,[],producer,1,2,49
1,7,101_3,101,3,[],producer,1,3,50
1,7,100_2,100,2,[],producer,1,4,51
1,7,010_3,10,3,[],receiver,1,4,52
1,7,101_2,101,2,[],receiver,1,3,53
1,7,101_2,101,2,[],receiver,1,2,54
1,7,NA_x,NA,x,"[['some', 'all'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,55
1,7,NA_x,NA,x,"[['some', 'not all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,56
1,7,100_2,100,2,[],producer,2,3,49
1,7,011_1,11,1,[],producer,2,4,50
1,7,101_2,101,2,[],producer,2,1,51
1,7,101_2,101,2,[],receiver,2,1,52
1,7,111_1,111,1,[],receiver,2,4,53
1,7,110_2,110,2,[],receiver,2,3,54
1,7,NA_x,NA,x,"[['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,55
1,7,NA_x,NA,x,"[['none', 'none'], ['some', 'not all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,56
1,7,011_3,11,3,[],producer,3,4,49
1,7,101_2,101,2,[],producer,3,1,50
1,7,110_2,110,2,[],producer,3,2,51
1,7,100_2,100,2,[],receiver,3,2,52
1,7,101_3,101,3,[],receiver,3,1,53
1,7,110_3,110,3,[],receiver,3,4,54
1,7,NA_x,NA,x,"[['some', 'all'], ['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,55
1,7,NA_x,NA,x,"[['some', 'not all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,56
1,7,010_3,10,3,[],producer,4,1,49
1,7,111_1,111,1,[],producer,4,2,50
1,7,110_3,110,3,[],producer,4,3,51
1,7,011_3,11,3,[],receiver,4,3,52
1,7,011_1,11,1,[],receiver,4,2,53
1,7,100_2,100,2,[],receiver,4,1,54
1,7,NA_x,NA,x,"[['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,55
1,7,NA_x,NA,x,"[['none', 'none'], ['some', 'not all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,56
2,1,110_1,110,1,[],producer,1,2,1
2,1,110_3,110,3,[],producer,1,3,2
2,1,111_2,111,2,[],producer,1,4,3
2,1,011_2,11,2,[],receiver,1,4,4
2,1,100_1,100,1,[],receiver,1,3,5
2,1,010_2,10,2,[],receiver,1,2,6
2,1,NA_x,NA,x,"[['some', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,7
2,1,NA_x,NA,x,"[['some', 'all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,8
2,1,010_3,10,3,[],producer,2,3,1
2,1,001_3,1,3,[],producer,2,4,2
2,1,010_2,10,2,[],producer,2,1,3
2,1,110_1,110,1,[],receiver,2,1,4
2,1,100_2,100,2,[],receiver,2,4,5
2,1,101_3,101,3,[],receiver,2,3,6
2,1,NA_x,NA,x,"[['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,7
2,1,NA_x,NA,x,"[['none', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,8
2,1,010_1,10,1,[],producer,3,4,1
2,1,100_1,100,1,[],producer,3,1,2
2,1,101_3,101,3,[],producer,3,2,3
2,1,010_3,10,3,[],receiver,3,2,4
2,1,110_3,110,3,[],receiver,3,1,5
2,1,111_3,111,3,[],receiver,3,4,6
2,1,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,7
2,1,NA_x,NA,x,"[['some', 'all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,8
2,1,011_2,11,2,[],producer,4,1,1
2,1,100_2,100,2,[],producer,4,2,2
2,1,111_3,111,3,[],producer,4,3,3
2,1,010_1,10,1,[],receiver,4,3,4
2,1,001_3,1,3,[],receiver,4,2,5
2,1,111_2,111,2,[],receiver,4,1,6
2,1,NA_x,NA,x,"[['some', 'all'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,7
2,1,NA_x,NA,x,"[['none', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,8
2,2,111_1,111,1,[],producer,1,2,9
2,2,101_2,101,2,[],producer,1,3,10
2,2,110_2,110,2,[],producer,1,4,11
2,2,110_2,110,2,[],receiver,1,4,12
2,2,010_3,10,3,[],receiver,1,3,13
2,2,011_2,11,2,[],receiver,1,2,14
2,2,NA_x,NA,x,"[['all', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,15
2,2,NA_x,NA,x,"[['some', 'some'], ['none', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,16
2,2,100_2,100,2,[],producer,2,3,9
2,2,011_1,11,1,[],producer,2,4,10
2,2,011_2,11,2,[],producer,2,1,11
2,2,111_1,111,1,[],receiver,2,1,12
2,2,001_1,1,1,[],receiver,2,4,13
2,2,100_2,100,2,[],receiver,2,3,14
2,2,NA_x,NA,x,"[['some', 'all'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,15
2,2,NA_x,NA,x,"[['some', 'some'], ['none', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,16
2,2,110_2,110,2,[],producer,3,4,9
2,2,010_3,10,3,[],producer,3,1,10
2,2,100_2,100,2,[],producer,3,2,11
2,2,100_2,100,2,[],receiver,3,2,12
2,2,101_2,101,2,[],receiver,3,1,13
2,2,001_3,1,3,[],receiver,3,4,14
2,2,NA_x,NA,x,"[['some', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,15
2,2,NA_x,NA,x,"[['some', 'some'], ['none', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,16
2,2,110_2,110,2,[],producer,4,1,9
2,2,001_1,1,1,[],producer,4,2,10
2,2,001_3,1,3,[],producer,4,3,11
2,2,110_2,110,2,[],receiver,4,3,12
2,2,011_1,11,1,[],receiver,4,2,13
2,2,110_2,110,2,[],receiver,4,1,14
2,2,NA_x,NA,x,"[['some', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,15
2,2,NA_x,NA,x,"[['none', 'all'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,16
2,3,001_3,1,3,[],producer,1,2,17
2,3,011_1,11,1,[],producer,1,3,18
2,3,010_1,10,1,[],producer,1,4,19
2,3,010_1,10,1,[],receiver,1,4,20
2,3,111_3,111,3,[],receiver,1,3,21
2,3,100_1,100,1,[],receiver,1,2,22
2,3,NA_x,NA,x,"[['some', 'some'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,23
2,3,NA_x,NA,x,"[['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,24
2,3,110_2,110,2,[],producer,2,3,17
2,3,100_3,100,3,[],producer,2,4,18
2,3,100_1,100,1,[],producer,2,1,19
2,3,001_3,1,3,[],receiver,2,1,20
2,3,110_1,110,1,[],receiver,2,4,21
2,3,001_2,1,2,[],receiver,2,3,22
2,3,NA_x,NA,x,"[['all', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,23
2,3,NA_x,NA,x,"[['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,24
2,3,011_1,11,1,[],producer,3,4,17
2,3,111_3,111,3,[],producer,3,1,18
2,3,001_2,1,2,[],producer,3,2,19
2,3,110_2,110,2,[],receiver,3,2,20
2,3,011_1,11,1,[],receiver,3,1,21
2,3,010_3,10,3,[],receiver,3,4,22
2,3,NA_x,NA,x,"[['some', 'none'], ['some', 'all'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,23
2,3,NA_x,NA,x,"[['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,24
2,3,010_1,10,1,[],producer,4,1,17
2,3,110_1,110,1,[],producer,4,2,18
2,3,010_3,10,3,[],producer,4,3,19
2,3,011_1,11,1,[],receiver,4,3,20
2,3,100_3,100,3,[],receiver,4,2,21
2,3,010_1,10,1,[],receiver,4,1,22
2,3,NA_x,NA,x,"[['some', 'all'], ['some', 'none'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,23
2,3,NA_x,NA,x,"[['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,24
2,4,100_2,100,2,[],producer,1,2,25
2,4,001_1,1,1,[],producer,1,3,26
2,4,001_2,1,2,[],producer,1,4,27
2,4,101_3,101,3,[],receiver,1,4,28
2,4,110_3,110,3,[],receiver,1,3,29
2,4,111_3,111,3,[],receiver,1,2,30
2,4,NA_x,NA,x,"[['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,31
2,4,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,32
2,4,111_2,111,2,[],producer,2,3,25
2,4,101_3,101,3,[],producer,2,4,26
2,4,111_3,111,3,[],producer,2,1,27
2,4,100_2,100,2,[],receiver,2,1,28
2,4,111_1,111,1,[],receiver,2,4,29
2,4,010_2,10,2,[],receiver,2,3,30
2,4,NA_x,NA,x,"[['some', 'none'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,31
2,4,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,32
2,4,001_1,1,1,[],producer,3,4,25
2,4,110_3,110,3,[],producer,3,1,26
2,4,010_2,10,2,[],producer,3,2,27
2,4,111_2,111,2,[],receiver,3,2,28
2,4,001_1,1,1,[],receiver,3,1,29
2,4,110_3,110,3,[],receiver,3,4,30
2,4,NA_x,NA,x,"[['some', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,31
2,4,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,32
2,4,101_3,101,3,[],producer,4,1,25
2,4,111_1,111,1,[],producer,4,2,26
2,4,110_3,110,3,[],producer,4,3,27
2,4,001_1,1,1,[],receiver,4,3,28
2,4,101_3,101,3,[],receiver,4,2,29
2,4,001_2,1,2,[],receiver,4,1,30
2,4,NA_x,NA,x,"[['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,31
2,4,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,32
2,5,011_2,11,2,[],producer,1,2,33
2,5,010_2,10,2,[],producer,1,3,34
2,5,100_1,100,1,[],producer,1,4,35
2,5,111_2,111,2,[],receiver,1,4,36
2,5,101_2,101,2,[],receiver,1,3,37
2,5,110_3,110,3,[],receiver,1,2,38
2,5,NA_x,NA,x,"[['some', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,39
2,5,NA_x,NA,x,"[['none', 'not all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,40
2,5,011_3,11,3,[],producer,2,3,33
2,5,110_1,110,1,[],producer,2,4,34
2,5,110_3,110,3,[],producer,2,1,35
2,5,011_2,11,2,[],receiver,2,1,36
2,5,010_2,10,2,[],receiver,2,4,37
2,5,111_1,111,1,[],receiver,2,3,38
2,5,NA_x,NA,x,"[['some', 'all'], ['some', 'some'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,39
2,5,NA_x,NA,x,"[['none', 'not all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,40
2,5,100_3,100,3,[],producer,3,4,33
2,5,101_2,101,2,[],producer,3,1,34
2,5,111_1,111,1,[],producer,3,2,35
2,5,011_3,11,3,[],receiver,3,2,36
2,5,010_2,10,2,[],receiver,3,1,37
2,5,101_1,101,1,[],receiver,3,4,38
2,5,NA_x,NA,x,"[['some', 'none'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,39
2,5,NA_x,NA,x,"[['none', 'not all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,40
2,5,111_2,111,2,[],producer,4,1,33
2,5,010_2,10,2,[],producer,4,2,34
2,5,101_1,101,1,[],producer,4,3,35
2,5,100_3,100,3,[],receiver,4,3,36
2,5,110_1,110,1,[],receiver,4,2,37
2,5,100_1,100,1,[],receiver,4,1,38
2,5,NA_x,NA,x,"[['all', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,39
2,5,NA_x,NA,x,"[['none', 'not all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,40
2,6,101_1,101,1,[],producer,1,2,41
2,6,100_3,100,3,[],producer,1,3,42
2,6,011_3,11,3,[],producer,1,4,43
2,6,001_2,1,2,[],receiver,1,4,44
2,6,011_2,11,2,[],receiver,1,3,45
2,6,001_2,1,2,[],receiver,1,2,46
2,6,NA_x,NA,x,"[['some', 'all'], ['some', 'some'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,47
2,6,NA_x,NA,x,"[['not all', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,48
2,6,001_1,1,1,[],producer,2,3,41
2,6,010_1,10,1,[],producer,2,4,42
2,6,001_2,1,2,[],producer,2,1,43
2,6,101_1,101,1,[],receiver,2,1,44
2,6,011_1,11,1,[],receiver,2,4,45
2,6,110_1,110,1,[],receiver,2,3,46
2,6,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,47
2,6,NA_x,NA,x,"[['not all', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,48
2,6,101_1,101,1,[],producer,3,4,41
2,6,011_2,11,2,[],producer,3,1,42
2,6,110_1,110,1,[],producer,3,2,43
2,6,001_1,1,1,[],receiver,3,2,44
2,6,100_3,100,3,[],receiver,3,1,45
2,6,011_3,11,3,[],receiver,3,4,46
2,6,NA_x,NA,x,"[['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,47
2,6,NA_x,NA,x,"[['some', 'all'], ['not all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,48
2,6,001_2,1,2,[],producer,4,1,41
2,6,011_1,11,1,[],producer,4,2,42
2,6,011_3,11,3,[],producer,4,3,43
2,6,101_1,101,1,[],receiver,4,3,44
2,6,010_1,10,1,[],receiver,4,2,45
2,6,011_3,11,3,[],receiver,4,1,46
2,6,NA_x,NA,x,"[['some', 'some'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,47
2,6,NA_x,NA,x,"[['not all', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,48
2,7,010_3,10,3,[],producer,1,2,49
2,7,111_3,111,3,[],producer,1,3,50
2,7,101_3,101,3,[],producer,1,4,51
2,7,100_3,100,3,[],receiver,1,4,52
2,7,001_3,1,3,[],receiver,1,3,53
2,7,101_2,101,2,[],receiver,1,2,54
2,7,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,55
2,7,NA_x,NA,x,"[['some', 'not all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,56
2,7,101_1,101,1,[],producer,2,3,49
2,7,111_1,111,1,[],producer,2,4,50
2,7,101_2,101,2,[],producer,2,1,51
2,7,010_3,10,3,[],receiver,2,1,52
2,7,101_2,101,2,[],receiver,2,4,53
2,7,011_3,11,3,[],receiver,2,3,54
2,7,NA_x,NA,x,"[['some', 'all'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,55
2,7,NA_x,NA,x,"[['some', 'not all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,56
2,7,111_2,111,2,[],producer,3,4,49
2,7,001_3,1,3,[],producer,3,1,50
2,7,011_3,11,3,[],producer,3,2,51
2,7,101_1,101,1,[],receiver,3,2,52
2,7,111_3,111,3,[],receiver,3,1,53
2,7,100_1,100,1,[],receiver,3,4,54
2,7,NA_x,NA,x,"[['some', 'all'], ['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,55
2,7,NA_x,NA,x,"[['some', 'not all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,56
2,7,100_3,100,3,[],producer,4,1,49
2,7,101_2,101,2,[],producer,4,2,50
2,7,100_1,100,1,[],producer,4,3,51
2,7,111_2,111,2,[],receiver,4,3,52
2,7,111_1,111,1,[],receiver,4,2,53
2,7,101_3,101,3,[],receiver,4,1,54
2,7,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,55
2,7,NA_x,NA,x,"[['some', 'not all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,56
3,1,001_2,1,2,[],producer,1,2,1
3,1,111_1,111,1,[],producer,1,3,2
3,1,010_3,10,3,[],producer,1,4,3
3,1,010_2,10,2,[],receiver,1,4,4
3,1,110_3,110,3,[],receiver,1,3,5
3,1,011_1,11,1,[],receiver,1,2,6
3,1,NA_x,NA,x,"[['some', 'some'], ['some', 'all'], ['some', 'none'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,7
3,1,NA_x,NA,x,"[['none', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,8
3,1,011_3,11,3,[],producer,2,3,1
3,1,010_3,10,3,[],producer,2,4,2
3,1,011_1,11,1,[],producer,2,1,3
3,1,001_2,1,2,[],receiver,2,1,4
3,1,101_1,101,1,[],receiver,2,4,5
3,1,101_3,101,3,[],receiver,2,3,6
3,1,NA_x,NA,x,"[['some', 'all'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,7
3,1,NA_x,NA,x,"[['some', 'all'], ['none', 'none'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,8
3,1,111_3,111,3,[],producer,3,4,1
3,1,110_3,110,3,[],producer,3,1,2
3,1,101_3,101,3,[],producer,3,2,3
3,1,011_3,11,3,[],receiver,3,2,4
3,1,111_1,111,1,[],receiver,3,1,5
3,1,010_1,10,1,[],receiver,3,4,6
3,1,NA_x,NA,x,"[['some', 'all'], ['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,7
3,1,NA_x,NA,x,"[['none', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,8
3,1,010_2,10,2,[],producer,4,1,1
3,1,101_1,101,1,[],producer,4,2,2
3,1,010_1,10,1,[],producer,4,3,3
3,1,111_3,111,3,[],receiver,4,3,4
3,1,010_3,10,3,[],receiver,4,2,5
3,1,010_3,10,3,[],receiver,4,1,6
3,1,NA_x,NA,x,"[['none', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,7
3,1,NA_x,NA,x,"[['none', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,8
3,2,010_1,10,1,[],producer,1,2,9
3,2,110_3,110,3,[],producer,1,3,10
3,2,001_3,1,3,[],producer,1,4,11
3,2,101_3,101,3,[],receiver,1,4,12
3,2,011_1,11,1,[],receiver,1,3,13
3,2,110_1,110,1,[],receiver,1,2,14
3,2,NA_x,NA,x,"[['some', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,15
3,2,NA_x,NA,x,"[['none', 'all'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,16
3,2,001_2,1,2,[],producer,2,3,9
3,2,100_2,100,2,[],producer,2,4,10
3,2,110_1,110,1,[],producer,2,1,11
3,2,010_1,10,1,[],receiver,2,1,12
3,2,001_1,1,1,[],receiver,2,4,13
3,2,010_2,10,2,[],receiver,2,3,14
3,2,NA_x,NA,x,"[['some', 'all'], ['all', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,15
3,2,NA_x,NA,x,"[['some', 'some'], ['none', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,2,0,16
3,2,001_1,1,1,[],producer,3,4,9
3,2,011_1,11,1,[],producer,3,1,10
3,2,010_2,10,2,[],producer,3,2,11
3,2,001_2,1,2,[],receiver,3,2,12
3,2,110_3,110,3,[],receiver,3,1,13
3,2,100_1,100,1,[],receiver,3,4,14
3,2,NA_x,NA,x,"[['some', 'none'], ['some', 'all'], ['some', 'some'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,15
3,2,NA_x,NA,x,"[['some', 'some'], ['none', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,3,0,16
3,2,101_3,101,3,[],producer,4,1,9
3,2,001_1,1,1,[],producer,4,2,10
3,2,100_1,100,1,[],producer,4,3,11
3,2,001_1,1,1,[],receiver,4,3,12
3,2,100_2,100,2,[],receiver,4,2,13
3,2,001_3,1,3,[],receiver,4,1,14
3,2,NA_x,NA,x,"[['all', 'some'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,15
3,2,NA_x,NA,x,"[['some', 'some'], ['none', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,4,0,16
3,3,100_1,100,1,[],producer,1,2,17
3,3,001_1,1,1,[],producer,1,3,18
3,3,100_2,100,2,[],producer,1,4,19
3,3,011_2,11,2,[],receiver,1,4,20
3,3,001_2,1,2,[],receiver,1,3,21
3,3,010_2,10,2,[],receiver,1,2,22
3,3,NA_x,NA,x,"[['some', 'none'], ['some', 'all'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,23
3,3,NA_x,NA,x,"[['some', 'some'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA'], ['NA', 'NA']]",receiver,1,0,24
3,3,010_1,10,1,[],producer,2,3,17
3,3,111_3,111,3,[],producer,2,4,18
3,3,010_2,10,2,[],producer,2,1,19
